Zipcode,Provider Name,STAR Rating,Address,Phone Number,County,Provider Type,Provider Status,Capacity,CCAP Subsidy,Accreditation,Food Permit,Transportation
41472,Gateway Early Head Start Morgan County,5,450 Prestonburg Street West Liberty KY,800-927-1833,Morgan,Licensed,Approved,34,Accepted,NaN,Yes,No
41472,Pooh's Corner Daycare,3,4100 Highway 191 West Liberty KY,606-743-2172,Morgan,Certified Family Child Care,Approved,6,Accepted,No,NaN,No
41472,Baby's Day Inn Day Care,2,909 Prestonburg Street West Liberty KY,606-743-1751,Morgan,Licensed,Approved,49,Accepted,No,Yes,No
41472,Wrigley Head Start,1,7490 Ky 7 West Liberty KY,606-743-3133,Morgan,Licensed,Approved,40,Accepted,NaN,Yes,Yes
40316,Menifee County Head Start,4,6882 US-460 Denniston KY,800-927-1833,Menifee,Licensed,Approved,80,Accepted,NaN,Yes,Yes
40353,,,,,Montgomery,,,,,,,
40353,,,,,Montgomery,,,,,,,
40353,,,,,Montgomery,,,,,,,
40353,,,,,Montgomery,,,,,,,
40353,,,,,Montgomery,,,,,,,
40353,,,,,Montgomery,,,,,,,
40353,,,,,Montgomery,,,,,,,
40353,,,,,Montgomery,,,,,,,
40353,,,,,Montgomery,,,,,,,
40353,,,,,Montgomery,,,,,,,
40353,,,,,Montgomery,,,,,,,
40353,,,,,Montgomery,,,,,,,
40353,,,,,Montgomery,,,,,,,
40353,,,,,Montgomery,,,,,,,
40353,,,,,Montgomery,,,,,,,
40353,,,,,Montgomery,,,,,,,
40353,,,,,Montgomery,,,,,,,
40360,,,,,Bath,,,,,,,
40360,,,,,Bath,,,,,,,
40360,,,,,Bath,,,,,,,
41041,,,,,Fleming,,,,,,,
41041,,,,,Fleming,,,,,,,
41041,,,,,Fleming,,,,,,,
41049,,,,,Fleming,,,,,,,
41056,,,,,Mason,,,,,,,
41056,,,,,Mason,,,,,,,
41056,,,,,Mason,,,,,,,
41056,,,,,Mason,,,,,,,
41056,,,,,Mason,,,,,,,
41056,,,,,Mason,,,,,,,
41056,,,,,Mason,,,,,,,
41056,,,,,Mason,,,,,,,
41056,,,,,Mason,,,,,,,
41056,,,,,Mason,,,,,,,
41056,,,,,Mason,,,,,,,
41064,,,,,Roberston,,,,,,,
41004,,,,,Bracken,,,,,,,
41004,,,,,Bracken,,,,,,,
41004,,,,,Bracken,,,,,,,
41002,,,,,Bracken,,,,,,,
41141,,,,,Lewis,,,,,,,
41189,,,,,Lewis,,,,,,,
41179,,,,,Lewis,,,,,,,
41179,,,,,Lewis,,,,,,,
41179,,,,,Lewis,,,,,,,
40351,,,,,Rowan,,,,,,,
40351,,,,,Rowan,,,,,,,
40351,,,,,Rowan,,,,,,,
40351,,,,,Rowan,,,,,,,
40351,,,,,Rowan,,,,,,,
40351,,,,,Rowan,,,,,,,
40351,,,,,Rowan,,,,,,,
40351,,,,,Rowan,,,,,,,
40351,,,,,Rowan,,,,,,,
40351,,,,,Rowan,,,,,,,
40351,,,,,Rowan,,,,,,,
41171,,,,,Elliott,,,,,,,
41171,,,,,Elliott,,,,,,,
41146,,,,,Carter,,,,,,,
41143,,,,,Carter,,,,,,,
41143,,,,,Carter,,,,,,,
41143,,,,,Carter,,,,,,,
41143,,,,,Carter,,,,,,,
41143,,,,,Carter,,,,,,,
41164,,,,,Carter,,,,,,,
41164,,,,,Carter,,,,,,,
41164,,,,,Carter,,,,,,,
41164,,,,,Carter,,,,,,,
41139,,,,,Greenup,,,,,,,
41144,,,,,Greenup,,,,,,,
41169,,,,,Greenup,,,,,,,
41169,,,,,Greenup,,,,,,,
41169,,,,,Greenup,,,,,,,
41169,,,,,Greenup,,,,,,,
41169,,,,,Greenup,,,,,,,
41169,,,,,Greenup,,,,,,,
41175,,,,,Greenup,,,,,,,
41101,,,,,Boyd,,,,,,,
41101,,,,,Boyd,,,,,,,
41101,,,,,Boyd,,,,,,,
41101,,,,,Boyd,,,,,,,
41101,,,,,Boyd,,,,,,,
41101,,,,,Boyd,,,,,,,
41101,,,,,Boyd,,,,,,,
41102,,,,,Boyd,,,,,,,
41102,,,,,Boyd,,,,,,,
41102,,,,,Boyd,,,,,,,
41102,,,,,Boyd,,,,,,,
41102,,,,,Boyd,,,,,,,
41102,,,,,Boyd,,,,,,,
41230,,,,,Lawrence,,,,,,,
41230,,,,,Lawrence,,,,,,,
